season,number,position,driverId,constructorId,Q1,Q2,Q3
2012,4,1,hamilton,mclaren,1:37.813,1:37.106,1:36.219
2012,3,2,button,mclaren,1:37.575,1:36.928,1:36.368
2012,7,3,michael_schumacher,mercedes,1:37.517,1:37.017,1:36.391
2012,2,4,webber,red_bull,1:37.172,1:37.375,1:36.461
2012,9,5,raikkonen,lotus_f1,1:37.961,1:36.715,1:36.461
2012,1,6,vettel,red_bull,1:38.102,1:37.419,1:36.634
2013,1,1,vettel,red_bull,1:44.657,1:36.745,1:27.407
2013,2,2,webber,red_bull,1:44.472,1:36.524,1:27.827
2013,10,3,hamilton,mercedes,1:45.456,1:36.625,1:28.087
2013,4,4,massa,ferrari,1:44.635,1:36.666,1:28.490
2013,3,5,alonso,ferrari,1:43.850,1:36.691,1:28.493
2013,9,6,rosberg,mercedes,1:43.380,1:36.194,1:28.523
2013,7,7,raikkonen,lotus_f1,1:45.545,1:37.517,1:28.738
2013,8,8,grosjean,lotus_f1,1:44.284,1:37.641,1:29.013
2013,14,9,resta,force_india,1:45.601,1:36.901,1:29.305
2013,5,10,button,mclaren,1:44.688,1:36.644,1:30.357
2013,11,11,hulkenberg,sauber,1:45.930,1:38.067,
2013,15,12,sutil,force_india,1:47.330,1:38.134,
2013,18,13,vergne,toro_rosso,1:44.871,1:38.778,
2013,19,14,ricciardo,toro_rosso,1:46.450,1:39.042,
2013,6,15,perez,mclaren,1:44.400,1:39.900,
2013,17,16,bottas,williams,1:47.328,1:40.290,
2013,16,17,maldonado,williams,1:47.614,,
2013,12,18,gutierrez,sauber,1:47.776,,
2013,22,19,jules_bianchi,marussia,1:48.147,,
2013,23,20,chilton,marussia,1:48.909,,
2013,21,21,garde,caterham,1:49.519,,
2013,20,22,pic,caterham,1:50.626,,
2013,1,1,vettel,red_bull,1:37.899,1:37.245,1:49.674
2013,4,2,massa,ferrari,1:37.712,1:36.874,1:50.587
2013,3,3,alonso,ferrari,1:37.314,1:36.877,1:50.727
2013,10,4,hamilton,mercedes,1:37.513,1:36.517,1:51.699
2013,2,5,webber,red_bull,1:37.619,1:36.449,1:52.244
2013,9,6,rosberg,mercedes,1:37.239,1:36.190,1:52.519
2013,7,7,raikkonen,lotus_f1,1:36.959,1:36.640,1:52.970
2013,5,8,button,mclaren,1:37.487,1:37.117,1:53.175
2014,44,1,hamilton,mercedes,1:31.699,1:42.890,1:44.231
2014,3,2,ricciardo,red_bull,1:30.775,1:42.295,1:44.548
2014,6,3,rosberg,mercedes,1:32.564,1:42.264,1:44.595
2014,20,4,kevin_magnussen,mclaren,1:30.949,1:43.247,1:45.745
2014,14,5,alonso,ferrari,1:31.388,1:42.805,1:45.819
2014,25,6,vergne,toro_rosso,1:33.488,1:43.849,1:45.864
2014,27,7,hulkenberg,force_india,1:33.893,1:43.658,1:46.030
2014,26,8,kvyat,toro_rosso,1:33.777,1:44.331,1:47.368
2014,19,9,massa,williams,1:31.228,1:44.242,1:48.079
2014,77,10,bottas,williams,1:31.601,1:43.852,1:48.147
2014,22,11,button,mclaren,1:31.396,1:44.437,
2014,7,12,raikkonen,ferrari,1:32.439,1:44.494,
2014,1,13,vettel,red_bull,1:31.931,1:44.688,
2014,99,14,sutil,sauber,1:33.673,1:45.655,
2014,10,15,kobayashi,caterham,1:34.274,1:45.867,
2014,11,16,perez,force_india,1:34.141,1:47.293,
2014,4,17,chilton,marussia,1:34.293,,
2014,17,18,jules_bianchi,marussia,1:34.794,,
2014,21,19,gutierrez,sauber,1:35.117,,
2014,9,20,ericsson,caterham,1:35.157,,
2014,8,21,grosjean,lotus_f1,1:36.993,,
2014,13,22,maldonado,lotus_f1,,,
2014,44,1,hamilton,mercedes,1:57.202,1:59.041,1:59.431
2014,1,2,vettel,red_bull,1:57.654,1:59.399,1:59.486
2014,6,3,rosberg,mercedes,1:57.183,1:59.445,2:00.050
2014,14,4,alonso,ferrari,1:58.889,2:01.356,2:00.175
2014,3,5,ricciardo,red_bull,1:58.913,2:00.147,2:00.541
2014,7,6,raikkonen,ferrari,1:59.257,2:01.532,2:01.218
2014,27,7,hulkenberg,force_india,1:58.883,2:00.839,2:01.712
2014,20,8,kevin_magnussen,mclaren,2:00.356,2:02.094,2:02.213
2015,44,1,hamilton,mercedes,1:28.586,1:26.894,1:26.327
2015,6,2,rosberg,mercedes,1:28.906,1:27.097,1:26.921
2015,19,3,massa,williams,1:29.246,1:27.895,1:27.718
2015,5,4,vettel,ferrari,1:29.307,1:27.742,1:27.757
2015,7,5,raikkonen,ferrari,1:29.754,1:27.807,1:27.790
2015,77,6,bottas,williams,1:29.641,1:27.796,1:28.087
2015,3,7,ricciardo,red_bull,1:29.788,1:28.679,1:28.329
2015,55,8,sainz,toro_rosso,1:29.597,1:28.601,1:28.510
2015,8,9,grosjean,lotus_f1,1:29.537,1:28.589,1:28.560
2015,13,10,maldonado,lotus_f1,1:29.847,1:28.726,1:29.480
2015,12,11,nasr,sauber,1:30.430,1:28.800,
2015,33,12,max_verstappen,toro_rosso,1:29.248,1:28.868,
2015,26,13,kvyat,red_bull,1:30.402,1:29.070,
2015,27,14,hulkenberg,force_india,1:29.651,1:29.208,
2015,11,15,perez,force_india,1:29.990,1:29.209,
2015,9,16,ericsson,sauber,1:31.376,,
2015,22,17,button,mclaren,1:31.422,,
2015,20,18,kevin_magnussen,mclaren,1:32.037,,
2015,44,1,hamilton,mercedes,1:39.269,1:41.517,1:49.834
2015,5,2,vettel,ferrari,1:39.814,1:39.632,1:49.908
2015,6,3,rosberg,mercedes,1:39.374,1:39.377,1:50.299
2015,3,4,ricciardo,red_bull,1:40.504,1:41.085,1:51.541
2015,26,5,kvyat,red_bull,1:40.546,1:41.665,1:51.951
2015,33,6,max_verstappen,toro_rosso,1:40.793,1:41.430,1:51.981
2015,19,7,massa,williams,1:40.543,1:41.230,1:52.473
2015,8,8,grosjean,lotus_f1,1:40.303,1:41.209,1:52.981
2015,77,9,bottas,williams,1:40.249,1:40.650,1:53.179
2015,9,10,ericsson,sauber,1:40.340,1:41.748,1:53.261
2015,7,11,raikkonen,ferrari,1:40.415,1:42.173,
2015,13,12,maldonado,lotus_f1,1:40.361,1:42.198,
2016,44,1,hamilton,mercedes,1:25.351,1:24.605,1:23.837
2016,6,2,rosberg,mercedes,1:26.934,1:24.796,1:24.197
2016,5,3,vettel,ferrari,1:26.945,1:25.257,1:24.675
2016,7,4,raikkonen,ferrari,1:26.579,1:25.615,1:25.033
2016,33,5,max_verstappen,toro_rosso,1:26.934,1:25.615,1:25.434
2016,19,6,massa,williams,1:25.918,1:25.644,1:25.458
2016,55,7,sainz,toro_rosso,1:27.057,1:25.384,1:25.582
2016,3,8,ricciardo,red_bull,1:26.945,1:25.599,1:25.589
2016,11,9,perez,force_india,1:26.607,1:25.753,
2016,27,10,hulkenberg,force_india,1:26.550,1:25.865,
2016,77,11,bottas,williams,1:27.135,1:25.961,
2016,14,12,alonso,mclaren,1:26.537,1:26.125,
2016,22,13,button,mclaren,1:26.740,1:26.304,
2016,30,14,jolyon_palmer,renault,1:27.241,1:27.601,
