driverId,position,positionText,points,wins
massa,7,7,134.0,0
button,8,8,126.0,0
hulkenberg,9,9,96.0,0
perez,10,10,59.0,0
kevin_magnussen,11,11,55.0,0
raikkonen,12,12,55.0,0
vergne,13,13,22.0,0
grosjean,14,14,8.0,0
kvyat,15,15,8.0,0
maldonado,16,16,2.0,0
jules_bianchi,17,17,2.0,0
sutil,18,18,0.0,0
ericsson,19,19,0.0,0
gutierrez,20,20,0.0,0
chilton,21,21,0.0,0
kobayashi,22,22,0.0,0
stevens,23,23,0.0,0
lotterer,24,24,0.0,0
hamilton,1,1,381.0,10
rosberg,2,2,322.0,6
vettel,3,3,278.0,3
raikkonen,4,4,150.0,0
bottas,5,5,136.0,0
massa,6,6,121.0,0
kvyat,7,7,95.0,0
ricciardo,8,8,92.0,0
perez,9,9,78.0,0
hulkenberg,10,10,58.0,0
grosjean,11,11,51.0,0
max_verstappen,12,12,49.0,0
nasr,13,13,27.0,0
maldonado,14,14,27.0,0
sainz,15,15,18.0,0
button,16,16,16.0,0
alonso,17,17,11.0,0
ericsson,18,18,9.0,0
merhi,19,19,0.0,0
rossi,20,20,0.0,0
stevens,21,21,0.0,0
kevin_magnussen,22,22,0.0,0
rosberg,1,1,385.0,9
hamilton,2,2,380.0,10
ricciardo,3,3,256.0,1
vettel,4,4,212.0,0
max_verstappen,5,5,204.0,1
raikkonen,6,6,186.0,0
perez,7,7,101.0,0
bottas,8,8,85.0,0
hulkenberg,9,9,72.0,0
alonso,10,10,54.0,0
massa,11,11,53.0,0
sainz,12,12,46.0,0
grosjean,13,13,29.0,0
kvyat,14,14,25.0,0
button,15,15,21.0,0
kevin_magnussen,16,16,7.0,0
nasr,17,17,2.0,0
jolyon_palmer,18,18,1.0,0
wehrlein,19,19,1.0,0
vandoorne,20,20,1.0,0
gutierrez,21,21,0.0,0
ericsson,22,22,0.0,0
ocon,23,23,0.0,0
haryanto,24,24,0.0,0
hamilton,1,1,363.0,9
vettel,2,2,317.0,5
bottas,3,3,305.0,3
raikkonen,4,4,205.0,0
ricciardo,5,5,200.0,1
max_verstappen,6,6,168.0,2
perez,7,7,100.0,0
ocon,8,8,87.0,0
sainz,9,9,54.0,0
hulkenberg,10,10,43.0,0
massa,11,11,43.0,0
stroll,12,12,40.0,0
grosjean,13,13,28.0,0
kevin_magnussen,14,14,19.0,0
alonso,15,15,17.0,0
vandoorne,16,16,13.0,0
jolyon_palmer,17,17,8.0,0
wehrlein,18,18,5.0,0
kvyat,19,19,5.0,0
ericsson,20,20,0.0,0
gasly,21,21,0.0,0
giovinazzi,22,22,0.0,0
brendon_hartley,23,23,0.0,0
button,24,24,0.0,0
resta,25,25,0.0,0
hamilton,1,1,408.0,11
vettel,2,2,320.0,5
raikkonen,3,3,251.0,1
max_verstappen,4,4,249.0,2
bottas,5,5,247.0,0
ricciardo,6,6,170.0,2
hulkenberg,7,7,69.0,0
perez,8,8,62.0,0
kevin_magnussen,9,9,56.0,0
sainz,10,10,53.0,0
alonso,11,11,50.0,0
ocon,12,12,49.0,0
leclerc,13,13,39.0,0
grosjean,14,14,37.0,0
gasly,15,15,29.0,0
vandoorne,16,16,12.0,0
ericsson,17,17,9.0,0
stroll,18,18,6.0,0
brendon_hartley,19,19,4.0,0
sirotkin,20,20,1.0,0
hamilton,1,1,413.0,11
bottas,2,2,326.0,4
max_verstappen,3,3,278.0,3
leclerc,4,4,264.0,2
vettel,5,5,240.0,1
sainz,6,6,96.0,0
gasly,7,7,95.0,0
albon,8,8,92.0,0
ricciardo,9,9,54.0,0
perez,10,10,52.0,0
norris,11,11,49.0,0
raikkonen,12,12,43.0,0
kvyat,13,13,37.0,0
hulkenberg,14,14,37.0,0
stroll,15,15,21.0,0
kevin_magnussen,16,16,20.0,0
giovinazzi,17,17,14.0,0
grosjean,18,18,8.0,0
kubica,19,19,1.0,0
russell,20,20,0.0,0
hamilton,1,1,347.0,11
bottas,2,2,223.0,2
max_verstappen,3,3,214.0,2
perez,4,4,125.0,1
ricciardo,5,5,119.0,0
sainz,6,6,105.0,0
albon,7,7,105.0,0
leclerc,8,8,98.0,0
norris,9,9,97.0,0
gasly,10,10,75.0,1
stroll,11,11,75.0,0
ocon,12,12,62.0,0
vettel,13,13,33.0,0
kvyat,14,14,32.0,0
hulkenberg,15,15,10.0,0
raikkonen,16,16,4.0,0
giovinazzi,17,17,4.0,0
russell,18,18,3.0,0
grosjean,19,19,2.0,0
kevin_magnussen,20,20,1.0,0
latifi,21,21,0.0,0
aitken,22,22,0.0,0
pietro_fittipaldi,23,23,0.0,0
max_verstappen,1,1,395.5,10
hamilton,2,2,387.5,8
bottas,3,3,226.0,1
perez,4,4,190.0,1
sainz,5,5,164.5,0
norris,6,6,160.0,0
leclerc,7,7,159.0,0
ricciardo,8,8,115.0,1
gasly,9,9,110.0,0
alonso,10,10,81.0,0
ocon,11,11,74.0,1
vettel,12,12,43.0,0
stroll,13,13,34.0,0
tsunoda,14,14,32.0,0
russell,15,15,16.0,0
raikkonen,16,16,10.0,0
latifi,17,17,7.0,0
giovinazzi,18,18,3.0,0
mick_schumacher,19,19,0.0,0
kubica,20,20,0.0,0
mazepin,21,21,0.0,0
max_verstappen,1,1,454.0,15
leclerc,2,2,308.0,3
perez,3,3,305.0,2
russell,4,4,275.0,1
sainz,5,5,246.0,1
hamilton,6,6,240.0,0
norris,7,7,122.0,0
ocon,8,8,92.0,0
alonso,9,9,81.0,0
bottas,10,10,49.0,0
ricciardo,11,11,37.0,0
vettel,12,12,37.0,0
kevin_magnussen,13,13,25.0,0
gasly,14,14,23.0,0
stroll,15,15,18.0,0
mick_schumacher,16,16,12.0,0
tsunoda,17,17,12.0,0
zhou,18,18,6.0,0
albon,19,19,4.0,0
latifi,20,20,2.0,0
de_vries,21,21,2.0,0
hulkenberg,22,22,0.0,0
